master_id,oof_id_correspondiente,presente_en_master,presente_en_oof,ST_master,ST_oof,categoria_missing
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES254_GCA_900517585_1_rgi.txt,None,True,False,104,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES269_GCA_900500945_1_rgi.txt,None,True,False,15,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES275_GCA_900517495_1_rgi.txt,None,True,False,792,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES281_GCA_900517635_1_rgi.txt,None,True,False,134,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES283_GCA_900517675_1_rgi.txt,None,True,False,101,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_FR013_GCA_900510395_1_rgi.txt,None,True,False,3649,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_FR067_GCA_900510945_1_rgi.txt,None,True,False,14,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_GR021_GCA_900501165_1_rgi.txt,None,True,False,3370,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_HR024_GCA_900505795_1_rgi.txt,None,True,False,437,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_HR056_GCA_900505985_1_rgi.txt,None,True,False,1107,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_HU006_GCA_900516395_1_rgi.txt,None,True,False,15,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_HU027_GCA_900516865_1_rgi.txt,None,True,False,11,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_HU065_GCA_900517105_1_rgi.txt,None,True,False,200,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Klebsiella_pneumoniae_ertapenem_S_strainEuSCAPE_IE022_GCA_9005063451_rgi.txt,None,True,False,15,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Klebsiella_pneumoniae_ertapenem_S_strainEuSCAPE_IT031_GCA_9005085151_rgi.txt,None,True,False,186,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_IT115_GCA_900508565_1_rgi.txt,None,True,False,35,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_IT119_GCA_900514845_1_rgi.txt,None,True,False,3657,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_IT151_GCA_900515175_1_rgi.txt,None,True,False,17,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Klebsiella_pneumoniae_ertapenem_S_strainEuSCAPE_IT385_GCA_9005155251_rgi.txt,None,True,False,3663,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ME017_GCA_900513965_1_rgi.txt,None,True,False,274,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_PL010_GCA_900510105_1_rgi.txt,None,True,False,11,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_PL025_GCA_900510195_1_rgi.txt,None,True,False,11,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_PL036_GCA_900510285_1_rgi.txt,None,True,False,11,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Klebsiella_pneumoniae_ertapenem_S_strainEuSCAPE_PL055_GCA_9005103151_rgi.txt,None,True,False,3132,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_PT029_GCA_900502855_1_rgi.txt,None,True,False,17,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_PT042_GCA_900501755_1_rgi.txt,None,True,False,17,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_RO031_GCA_900504595_1_rgi.txt,None,True,False,336,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_RO051_GCA_900504035_1_rgi.txt,None,True,False,15,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_RO071_GCA_900504195_1_rgi.txt,None,True,False,336,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_RO081_GCA_900504315_1_rgi.txt,None,True,False,147,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Klebsiella_pneumoniae_ertapenem_S_strainEuSCAPE_RO094_GCA_9005044351_rgi.txt,None,True,False,22,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_RS093_GCA_900505545_1_rgi.txt,None,True,False,340,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_TR042_GCA_900507835_1_rgi.txt,None,True,False,1193,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_TR056_GCA_900507915_1_rgi.txt,None,True,False,392,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_TR143_GCA_900507435_1_rgi.txt,None,True,False,29,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_TR210_GCA_900508785_1_rgi.txt,None,True,False,111,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_UK032_GCA_900504865_1_rgi.txt,None,True,False,661,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_UK101_GCA_900503165_1_rgi.txt,None,True,False,678,N/A,Other Drop
Kp_ertapenem_S_GIMC1042_Kpn34P66_573_78182_rgi.txt,None,True,False,716,N/A,GIMC Drop
Kp_ertapenem_S_GIMC1043_KpnB3339_573_80632_rgi.txt,None,True,False,336,N/A,GIMC Drop
Kp_ertapenem_S_GIMC1048_Kpn17051223_573_80628_rgi.txt,None,True,False,395,N/A,GIMC Drop
Kp_ertapenem_S_GIMC1049_Kpn23150124_1_573_80624_rgi.txt,None,True,False,395,N/A,GIMC Drop
Kp_ertapenem_S_GIMC1055_Kpn53130623_573_78862_rgi.txt,None,True,False,395,N/A,GIMC Drop
